stage,artifact_role,relative_path,file_size_bytes,sha256,source_tree_hash,configuration_hash,experiment_hash,git_head_at_run,git_dirty_at_run,canonical_eligible,canonical_status,used_for_formal_report,notes
Stage 4A Freeze-R.1.1,r2_1_2_archive,results/data/stage4a_freeze_r1_1/r2_1_2/summary.mat,13167,5c71cab75c88502dd059ece0b3aee14748f2ddfa6c988765f4f0eece748caf06,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Compact summary; frozen inputs remain read-only.
Stage 4A Freeze-R.1.1,source_identity,results/data/stage4a_freeze_r1_1/source_inventory.csv,72947,f63afb61c789d1e711301235bad267a3468419dd32c286ef0069484b591ef4f3,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/development_method_selection.csv,3181,07ca675b3e79bb9c2e372319313a7e06c89d8a745618c7e66c9e076bb3e7b8a6,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/domain_validation_metrics.csv,58108,c77a6cc736e21b5fa6ac26263e1ed02fabae91ac943a2a2ff45e35d7ec4857be,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/false_unique_summary.csv,3238,de9a969bdda7ca1ae1e7f6a403b6a89e0b1bb6cbe2e2a33d88827b4cbfbc4f9e,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/frozen_config.csv,1417,7c3af69c1c897705928e53eba5daa449c5575cf57d1c1792a40838c07a6ff192,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/lower_upper_ood_summary.csv,51784,a17cba9b3d0c383f6b7432cc91e66e3c966b5ba04e804b93ed523c62534c8ac1,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/nonunique_benchmark_ledger.csv,121082,47325d1f7f70d813d2e0c16f6ca19f358dc0de8277013e352cf6197d0a8edf95,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/nonunique_equivalence_audit.csv,1454,ff8e555f5349f372ea551a3350216d2cadef9ec1d5606e1f768b94d3b04dc7a1,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/paired_domain_validation.csv,969573,0cffb2cbb24483993f072229e55068565db5426416d7945d43fb1a5196d5934f,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/parameter_domain_calibration.csv,1391,9280f87c59488fa49a2a65fc2abdb7a594c1e88846118c82d71216760a2a2cf8,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/runtime_environment_manifest.csv,484,c77b2adc4ba964715703586a4535bb7f578d480d8c85945a957bfaddce788572,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/runtime_summary.csv,1568,b33b261e94fe3ba9ce0e7e1fec066fdec2e2bcffd3c6982fbd1a085e839ca3a4,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/scenario_manifest.csv,5234122,c83b4244ab733e55e7a8b6cfaf5872fe0a31c3ef533b409a01d2ff3e40385537,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,sensitivity,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/selection_rule_sensitivity.csv,15711,f2f9bbf6082ee7eea7ff8663910f689f2c9d9541b424aab9efae08fdc626b524,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,sensitivity,0,Rule B sensitivity; not used for canonical selection.
Stage 4A Freeze-R.1.1,source_identity,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/source_identity_manifest.csv,72947,f63afb61c789d1e711301235bad267a3468419dd32c286ef0069484b591ef4f3,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/stage4a7_3_summary.mat,34440,f4891426f4b84ff5609421c03896236427b8aeb262a3b7c793ed6658a33daa80,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Compact summary; frozen inputs remain read-only.
Stage 4A Freeze-R.1.1,stage4a7_3_formal,results/data/stage4a_freeze_r1_1/stage4a7_3/formal/summary.csv,1568,b33b261e94fe3ba9ce0e7e1fec066fdec2e2bcffd3c6982fbd1a085e839ca3a4,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,canonical,1,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/development_method_selection.csv,3177,13ab5045ef1d7ff55709268748747077ba9cc4c12d74af3bd7042216dce1949b,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/domain_validation_metrics.csv,57983,9827b8815bf359bd551ba63a0cddebc733a532b7dc991eef65d5346c84d64929,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/false_unique_summary.csv,3210,375a3324acdd0e00e4555cd78059aa4826fb6949b93a82de1417d337046bffb8,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/frozen_config.csv,1414,fee9f9be474a9188be4c25280bbaac2bf6e4e90edb0b886801014736a04543c8,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/lower_upper_ood_summary.csv,51671,a276dd83880e1a087efc05136eec3f8e5137a7e3a59f2ab03c4d695a59259d05,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/nonunique_benchmark_ledger.csv,12665,5dd391ec66ca0e3663e41a0dfd4eb44736a4322262401fd390ddb74cc145f48a,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/nonunique_equivalence_audit.csv,1452,db39cc29a16e3fb1cedd64e1572194f3d0faa7c2a913bcd61c3f7c7631bf82a3,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/paired_domain_validation.csv,968035,c837087d521b15680409e9f95f714ce5a456e8cbec89de6b44f368274f728c7d,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/parameter_domain_calibration.csv,1388,e23352a20c5aaa19698e12139ff8031fc439aed4d124f01adb099a913530729b,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/runtime_environment_manifest.csv,484,07397d512fc661a52f338c9348f92908beda064dedb1a362c2823136b435be06,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/runtime_summary.csv,1562,83bfc75eae7e6d751f619395fa8b1928393323bfe3182ae8d75f17b1da3f1a0e,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/scenario_manifest.csv,1523528,758739f2821803d2f0f1943c30d7f2a4773ffc92dd4234f3cc3c67703272a480,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,sensitivity,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/selection_rule_sensitivity.csv,15674,faa4baa4193a9c4a25559ef96ef36ecf52a08e1f772b6f826badbe8a79603b32,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,sensitivity,0,Rule B sensitivity; not used for canonical selection.
Stage 4A Freeze-R.1.1,source_identity,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/source_identity_manifest.csv,72947,f63afb61c789d1e711301235bad267a3468419dd32c286ef0069484b591ef4f3,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/stage4a7_3_summary.mat,14748,e4646622e129fdc4176915cc579095c8b18c555b3f7a265189f46ad5994170ee,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Compact summary; frozen inputs remain read-only.
Stage 4A Freeze-R.1.1,stage4a7_3_smoke,results/data/stage4a_freeze_r1_1/stage4a7_3/smoke/summary.csv,1562,83bfc75eae7e6d751f619395fa8b1928393323bfe3182ae8d75f17b1da3f1a0e,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,54868370cc6c426f417681146caace79de782e91,0,1,history_or_smoke,0,Freeze-R.1.1 generated artifact.
